species_name,sex,weight
Dipodomys_merriami,M,40
Dipodomys_merriami,M,48
Dipodomys_merriami,F,29
Dipodomys_merriami,F,46
Dipodomys_merriami,M,36
Dipodomys_ordii,F,52
Perognathus_flavus,M,8
Onychomys_sp.,F,22
Dipodomys_merriami,F,35
Perognathus_flavus,M,7
Dipodomys_merriami,F,22
Perognathus_flavus,M,9
Dipodomys_merriami,F,42
Perognathus_flavus,F,8
Dipodomys_merriami,F,41
Dipodomys_merriami,F,37
Dipodomys_merriami,F,43
Dipodomys_merriami,F,41
Dipodomys_merriami,F,40
Perognathus_flavus,F,9
Dipodomys_merriami,F,45
Chaetodipus_penicillatus,F,15
Dipodomys_merriami,M,29
Dipodomys_merriami,M,39
Dipodomys_merriami,F,43
Dipodomys_merriami,M,46
Dipodomys_merriami,M,41
Dipodomys_merriami,M,41
Dipodomys_merriami,M,40
Dipodomys_merriami,M,45
Dipodomys_merriami,F,46
Dipodomys_merriami,F,40
Dipodomys_merriami,F,30
Dipodomys_merriami,M,39
Dipodomys_merriami,M,34
Dipodomys_merriami,F,42
Dipodomys_merriami,M,42
Perognathus_flavus,F,8
Dipodomys_merriami,F,31
Dipodomys_merriami,F,40
Dipodomys_merriami,M,37
Dipodomys_merriami,M,48
Dipodomys_merriami,M,42
Dipodomys_merriami,F,45
Chaetodipus_penicillatus,F,16
Dipodomys_merriami,F,36
Dipodomys_merriami,M,42
Dipodomys_merriami,M,44
Dipodomys_merriami,F,41
Perognathus_flavus,F,8
Dipodomys_merriami,F,40
Dipodomys_merriami,M,34
Dipodomys_merriami,M,40
Onychomys_sp.,F,20
Dipodomys_merriami,M,44
Dipodomys_merriami,M,44
Dipodomys_merriami,M,36
Dipodomys_merriami,M,33
Dipodomys_merriami,F,46
Dipodomys_merriami,F,35
Dipodomys_merriami,M,46
Dipodomys_merriami,F,37
Dipodomys_merriami,M,34
Dipodomys_merriami,F,45
Perognathus_flavus,F,7
Dipodomys_merriami,M,51
Dipodomys_merriami,M,39
Dipodomys_merriami,M,29
Dipodomys_merriami,F,48
Dipodomys_merriami,M,46
Dipodomys_merriami,F,41
Dipodomys_merriami,M,45
Dipodomys_merriami,F,42
Dipodomys_merriami,F,53
Dipodomys_merriami,F,49
Dipodomys_merriami,F,46
Perognathus_flavus,F,9
Chaetodipus_penicillatus,F,15
Perognathus_flavus,M,4
Dipodomys_merriami,M,48
Dipodomys_merriami,M,51
Dipodomys_merriami,M,50
Dipodomys_merriami,M,44
Dipodomys_merriami,M,44
Dipodomys_merriami,M,45
Dipodomys_merriami,F,45
Peromyscus_eremicus,M,19
Onychomys_sp.,M,22
Dipodomys_merriami,F,44
Dipodomys_merriami,F,42
Dipodomys_merriami,M,39
Dipodomys_merriami,M,47
Onychomys_torridus,M,21
Dipodomys_merriami,M,42
Dipodomys_merriami,M,49
Dipodomys_merriami,M,39
Dipodomys_merriami,F,43
Dipodomys_merriami,M,50
Dipodomys_merriami,M,41
Dipodomys_merriami,M,47
Dipodomys_merriami,F,37
Dipodomys_merriami,M,41
Dipodomys_merriami,F,36
Dipodomys_merriami,M,45
Peromyscus_eremicus,M,20
Dipodomys_merriami,M,40
Dipodomys_merriami,M,49
Dipodomys_merriami,F,55
Dipodomys_merriami,M,46
Dipodomys_merriami,F,38
Dipodomys_merriami,M,44
Onychomys_leucogaster,F,21
Dipodomys_merriami,M,41
Dipodomys_merriami,M,46
Dipodomys_merriami,M,36
Dipodomys_merriami,M,44
Dipodomys_merriami,M,53
Dipodomys_merriami,M,41
Dipodomys_merriami,M,48
Dipodomys_merriami,M,47
Dipodomys_ordii,F,33
Dipodomys_merriami,F,42
Dipodomys_ordii,F,50
Dipodomys_merriami,M,41
Dipodomys_merriami,M,49
Dipodomys_merriami,F,44
Dipodomys_merriami,M,31
Dipodomys_merriami,M,40
Dipodomys_merriami,F,40
Dipodomys_merriami,M,23
Dipodomys_merriami,M,42
Reithrodontomys_megalotis,M,13
Dipodomys_merriami,F,42
Dipodomys_merriami,M,31
Dipodomys_merriami,M,39
Dipodomys_merriami,M,48
Dipodomys_ordii,F,48
Dipodomys_merriami,M,29
Dipodomys_merriami,M,45
Dipodomys_merriami,F,39
Onychomys_leucogaster,F,23
Dipodomys_ordii,F,31
Dipodomys_merriami,F,43
Dipodomys_merriami,M,43
Perognathus_flavus,M,8
Dipodomys_merriami,F,45
Dipodomys_merriami,M,40
Dipodomys_ordii,F,41
Dipodomys_merriami,M,41
Dipodomys_merriami,F,39
Dipodomys_merriami,M,25
Dipodomys_merriami,F,45
Dipodomys_merriami,F,36
Dipodomys_merriami,F,40
Dipodomys_merriami,M,44
Dipodomys_merriami,M,47
Dipodomys_merriami,M,40
Dipodomys_merriami,M,44
Dipodomys_ordii,F,44
Dipodomys_spectabilis,F,117
Perognathus_flavus,F,7
Dipodomys_merriami,M,40
Dipodomys_merriami,F,39
Dipodomys_merriami,F,40
Dipodomys_spectabilis,F,121
Dipodomys_merriami,M,46
Dipodomys_merriami,F,35
Dipodomys_spectabilis,M,115
Perognathus_flavus,F,7
Dipodomys_merriami,F,39
Dipodomys_merriami,M,40
Dipodomys_merriami,M,40
Dipodomys_merriami,F,35
Dipodomys_merriami,M,36
Dipodomys_merriami,M,44
Perognathus_flavus,F,6
Perognathus_flavus,F,7
Dipodomys_spectabilis,F,120
Dipodomys_ordii,M,48
Dipodomys_merriami,M,44
Dipodomys_merriami,F,38
Dipodomys_spectabilis,F,118
Dipodomys_merriami,M,40
Dipodomys_spectabilis,F,126
Dipodomys_merriami,M,37
Dipodomys_spectabilis,M,132
Dipodomys_merriami,F,39
Dipodomys_spectabilis,F,113
Perognathus_flavus,M,7
Dipodomys_spectabilis,F,122
Dipodomys_spectabilis,F,107
Dipodomys_merriami,M,43
Dipodomys_merriami,F,40
Reithrodontomys_megalotis,F,7
Dipodomys_spectabilis,F,115
Dipodomys_merriami,F,39
Dipodomys_merriami,M,40
Dipodomys_spectabilis,F,116
Perognathus_flavus,F,6
Dipodomys_merriami,F,38
Dipodomys_spectabilis,M,137
Dipodomys_merriami,M,42
Dipodomys_spectabilis,M,126
Dipodomys_spectabilis,F,112
Dipodomys_ordii,F,39
Dipodomys_merriami,F,41
Dipodomys_merriami,F,48
Dipodomys_spectabilis,F,121
Dipodomys_merriami,F,42
Dipodomys_merriami,M,42
Dipodomys_merriami,M,52
Dipodomys_merriami,F,38
Dipodomys_merriami,M,45
Dipodomys_merriami,F,37
Dipodomys_ordii,F,40
Dipodomys_merriami,M,38
Perognathus_flavus,F,7
Dipodomys_merriami,M,44
Perognathus_flavus,F,7
Dipodomys_merriami,F,33
Dipodomys_merriami,F,38
Dipodomys_merriami,M,47
Dipodomys_merriami,F,39
Perognathus_flavus,F,7
Dipodomys_merriami,M,42
Dipodomys_merriami,M,36
Dipodomys_merriami,M,44
Dipodomys_spectabilis,M,116
Dipodomys_merriami,M,43
Dipodomys_ordii,M,45
Dipodomys_spectabilis,F,116
Dipodomys_merriami,M,42
Dipodomys_merriami,F,38
Dipodomys_spectabilis,F,114
Dipodomys_merriami,M,41
Dipodomys_merriami,M,40
Dipodomys_spectabilis,M,134
Dipodomys_spectabilis,M,139
Dipodomys_spectabilis,F,118
Dipodomys_ordii,F,41
Dipodomys_merriami,M,37
Perognathus_flavus,M,6
Dipodomys_spectabilis,F,127
Perognathus_flavus,F,6
Dipodomys_spectabilis,F,120
Dipodomys_spectabilis,F,115
Dipodomys_merriami,F,40
Dipodomys_spectabilis,F,114
Dipodomys_merriami,F,37
Dipodomys_merriami,M,46
Dipodomys_spectabilis,M,149
Dipodomys_merriami,F,38
Dipodomys_spectabilis,M,127
Dipodomys_merriami,F,36
Dipodomys_merriami,M,41
Dipodomys_merriami,M,44
Dipodomys_spectabilis,M,138
Dipodomys_spectabilis,M,110
Dipodomys_spectabilis,F,110
Dipodomys_merriami,F,37
Perognathus_flavus,M,7
Dipodomys_spectabilis,F,121
Dipodomys_merriami,F,43
Dipodomys_merriami,M,43
Dipodomys_merriami,M,44
Dipodomys_merriami,F,36
Perognathus_flavus,F,8
Dipodomys_merriami,M,38
Dipodomys_spectabilis,F,122
Perognathus_flavus,M,7
Dipodomys_ordii,F,42
Dipodomys_merriami,M,46
Peromyscus_eremicus,M,22
Dipodomys_merriami,M,38
Dipodomys_merriami,M,48
Perognathus_flavus,M,7
Dipodomys_merriami,M,43
Dipodomys_merriami,F,35
Dipodomys_merriami,M,43
Dipodomys_merriami,M,36
Dipodomys_spectabilis,F,117
Dipodomys_merriami,F,37
Dipodomys_spectabilis,M,122
Dipodomys_merriami,M,43
Dipodomys_merriami,M,42
Perognathus_flavus,F,7
Dipodomys_merriami,M,45
Dipodomys_merriami,M,40
Dipodomys_merriami,F,37
Dipodomys_spectabilis,F,117
Dipodomys_merriami,M,40
Dipodomys_merriami,M,40
Dipodomys_spectabilis,M,132
Dipodomys_merriami,F,36
Dipodomys_spectabilis,M,150
Dipodomys_merriami,M,44
Dipodomys_merriami,F,40
Dipodomys_spectabilis,F,126
Dipodomys_spectabilis,F,122
Dipodomys_spectabilis,F,136
Dipodomys_spectabilis,F,116
Dipodomys_merriami,F,38
Dipodomys_merriami,F,39
Dipodomys_spectabilis,F,135
Dipodomys_merriami,M,46
Dipodomys_spectabilis,M,133
Dipodomys_spectabilis,M,136
Dipodomys_spectabilis,F,141
Dipodomys_merriami,F,38
Dipodomys_merriami,F,35
Dipodomys_spectabilis,M,135
Dipodomys_merriami,F,33
Dipodomys_merriami,M,51
Dipodomys_spectabilis,F,122
Dipodomys_merriami,F,33
Dipodomys_merriami,M,47
Dipodomys_merriami,M,49
Dipodomys_merriami,M,46
Dipodomys_merriami,F,45
Dipodomys_merriami,M,41
Onychomys_torridus,M,24
Dipodomys_spectabilis,M,157
Dipodomys_merriami,M,51
Neotoma_albigula,M,218
